Symbol,Current_Price,Trend_Strength_Score,Trend_Rating,Short_Term_Strength,Medium_Term_Strength,Long_Term_Strength,Momentum_Consistency,Volume_Validation,Trend_Direction,Trend_Magnitude,Trend_Quality,Monthly_Return,Annual_Return,Volatility,Max_Drawdown,Sharpe_Ratio,Beta,Market_Cap_B,Sector,Trend_Rank,Rank
BPCL.NS,316.45001220703125,0.5562803777775382,Weak Uptrend,0.40537311324323805,0.40132837355895357,0.8717057612785328,0.33928450578532415,0.7070303036781357,0,0.0002017420933355111,0.0,-0.059123906716253026,-0.06730646159840738,0.3167351846953116,0.3458878601472242,1.1505507072622367,0.916,1373.136617472,Energy,31.0,31
HDFCBANK.NS,1964.5999755859375,0.5514483501385492,Weak Uptrend,0.22010907636671018,0.559675071602814,0.9067750157899538,0.3405134359854371,0.5982466507946645,0,0.0010828612003824538,0.0,-0.024625149830373047,0.2216832414452205,0.19824447095469389,0.19025882230672275,0.46682778644727235,0.623,15082.273636352,Financial Services,32.0,32
TATAMOTORS.NS,680.2999877929688,0.5197006975479124,Sideways/Neutral,0.4501848428943342,0.7139970954694915,0.3434429668293476,0.39297416103447436,0.7090505949277636,0,0.001716698957950023,0.0,-0.02883656275093683,-0.3677210289108169,0.2905519200272937,0.5010113132289326,0.1565502349733985,1.119,2504.667430912,Consumer Cyclical,33.0,33
KOTAKBANK.NS,1986.5999755859375,0.5171386459052641,Sideways/Neutral,0.40736397461447876,0.34219432743634953,0.8224071803896866,0.3910958247653761,0.5723406687403527,-1,0.0009297108992751595,0.75,-0.0725923696285019,0.09704654974437432,0.2295657871262211,0.19499316145368845,0.16772728720199326,0.378,3949.996539904,Financial Services,34.0,34
BEL.NS,374.8500061035156,0.5029101439104231,Sideways/Neutral,0.10669561543350929,0.375342888402875,0.9292462225116745,0.40031470118198287,0.6358435861185766,-1,0.0020622202086685434,1.0,-0.05657347830802237,0.23706793060301382,0.35175266921633647,0.26896410665597764,1.5638080852505245,0.384,2740.071170048,Industrials,35.0,35
NTPC.NS,337.0,0.4910535079954853,Sideways/Neutral,0.40013125372126385,0.684632527888031,0.3591205059802884,0.4001731956990775,0.6004201295286071,1,0.00020450456158120102,1.0,-0.005606355652708334,-0.1643966348300238,0.28252406513684,0.323022939034215,0.7966256460296098,0.301,3267.777789952,Utilities,36.0,36
TRENT.NS,5418.0,0.48781895981344325,Sideways/Neutral,0.6438688406988847,0.5674405138499454,0.31302367173369433,0.4496777585167151,0.47651654333499366,0,0.002735512844689744,0.0,0.051222351571594875,-0.20056997245454944,0.3847288564420605,0.43895224971484575,1.367321078621972,0.209,1926.028591104,Consumer Cyclical,37.0,37
TCS.NS,3054.0,0.4801170399618563,Sideways/Neutral,0.6640780596840555,0.49538494384488496,0.2693891173636123,0.2974846501879923,0.7432347679648134,0,0.001665749615363003,0.0,-0.02986022871664549,-0.317471299187285,0.20488584222125333,0.3292007980033118,-0.318031414637094,0.333,11049.646424064,Technology,38.0,38
INFY.NS,1487.5,0.4774411694919384,Sideways/Neutral,0.7143847334333464,0.44317302608368747,0.3014514247628937,0.403270518689853,0.5861168819343059,0,0.004256069177315077,0.0,-0.04186795491143317,-0.1853449264262631,0.23472765854507877,0.3015202191373783,0.14317000656491,0.348,6166.089302016,Technology,39.0,39
COALINDIA.NS,374.45001220703125,0.46319254467671067,Sideways/Neutral,0.33157708018098964,0.6724414906383377,0.38185338915879213,0.40438895357793747,0.4843004376969315,0,0.001487160068276509,0.0,-0.001135630231632748,-0.23864751289833946,0.29646791574410397,0.3084013619324933,1.0636095585544512,0.044,2307.634233344,Energy,40.0,40
