Symbol,Current_Price,Breakout_Probability,Probability_Rating,Compression_Intensity,Historical_Patterns,Volume_Volatility_Divergence,Technical_Setup,Microstructure,Expected_Direction,Expected_Magnitude,Direction_Confidence,Current_Volatility_20D,Bollinger_Width,ATR_Volatility,Volatility_Percentile,Monthly_Return,Annual_Return,Max_Drawdown,Sharpe_Ratio,Beta,Market_Cap_B,Sector,Probability_Rank,Rank
BRITANNIA.NS,5545.5,-973.4844163762623,Very Low Probability,0.26086499809959707,0.5,-5070.41073991471,0.6991095814834454,268.68432613288127,-0.25,0.03712817346281125,0.25,0.2946957408499992,0.10242940024510999,0.454646004421244,0.5,-0.014557252591089975,-0.1746870310930797,0.29023197604557016,-0.3045509628041071,0.529,1335.761174528,Consumer Defensive,34.0,34
INFY.NS,1487.5,-1718.0032285692564,Very Low Probability,0.26675643428088724,0.5,-7174.571707557826,0.4865870389380471,-1889.023761480681,0.25,0.027872465700661896,0.25,0.22123083801038715,0.09797607149875716,0.2987409501844241,0.5,-0.05486247417781409,-0.6583496901337691,0.3015202191373786,-0.9277917884565626,0.348,6166.089302016,Technology,35.0,35
BPCL.NS,316.45001220703125,-1837.1420106138346,Very Low Probability,0.2654001916541487,0.5,-3442.3702161871515,0.6316865877208648,-7659.69380274984,-0.5,0.02968444136848074,0.5,0.23561294900663368,0.07365356747041289,0.3908501182890499,0.5,-0.06760862782423382,-0.8113035338908059,0.3458878042940801,-0.2841102880176084,0.916,1373.136617472,Energy,36.0,36
ADANIENT.NS,2324.89990234375,-3937.335799236972,Very Low Probability,0.2679803287277324,0.5,-20847.868640991986,0.4756427381999667,1546.4972497900883,-0.5,0.04273347714378681,0.5,0.339186459538568,0.17756382424072642,0.43604658300104426,0.5,-0.11273723945033311,-1.3528468734039973,0.3421424320300611,-0.6126959950063899,0.71,2683.352907776,Energy,37.0,37
SUNPHARMA.NS,1641.800048828125,-7342.613056914423,Very Low Probability,0.34346765544252206,0.5,-34334.9171360347,0.7917492374099777,-3173.061726713026,0.5,0.027442895704987123,0.5,0.21782123187263552,0.10149812624630247,0.28802578610041124,0.5,-0.02262842379401586,-0.27154108552819034,0.191286081850759,-0.4158505223480761,0.313,3939.220062208,Healthcare,38.0,38
SHRIRAMFIN.NS,615.8499755859375,-8111.842533315504,Very Low Probability,0.23305151015985767,0.5,-21010.850926533196,0.6283629110430033,-26066.33243548707,0.0,0.031232936871317785,0.0,0.2479037510270599,0.0527280229507506,0.33546289314151984,0.5,-0.057334242255032475,-0.6880109070603897,0.2900455860223043,0.02108643256020249,0.854,1158.36452864,Financial Services,39.0,39
RELIANCE.NS,1409.199951171875,-10432.370502057844,Very Low Probability,0.2294150832559451,0.5,-49860.143248555054,0.5260754969475829,-3070.687449614587,0.25,0.023326186034537563,0.25,0.18514586184904291,0.049386555358846014,0.25183969329501027,0.5,-0.005479140763173351,-0.06574968915808022,0.23868495572563433,-0.40321752199154737,0.218,19069.998727168,Energy,40.0,40
WIPRO.NS,248.63999938964844,-12493.069014428342,Very Low Probability,0.2754534074512593,0.5,-64083.03743770998,0.5398973372105867,2155.090834408069,0.75,0.025000177845226457,0.75,0.1984327599325675,0.06999497714261545,0.3140943580150125,0.5,-0.02905214600436956,-0.34862575205243473,0.2661024978252616,-0.06447068407386224,0.596,2603.58406144,Technology,41.0,41
TCS.NS,3054.0,-14927.832123400554,Very Low Probability,0.23522600097003088,0.5,-74446.39867006525,0.492358349377717,-258.7336642677015,0.75,0.021831830607176476,0.75,0.17328478335563166,0.04350471094677909,0.2387612334093053,0.5,-0.038951233201130475,-0.4674147984135657,0.32920072483890794,-2.0035351632242144,0.333,11049.646424064,Technology,42.0,42
KOTAKBANK.NS,1986.5999755859375,-16288.341026005439,Very Low Probability,0.27749644057546496,0.5,-70021.23020993835,0.5288768952660409,-15229.124597748012,-0.5,0.03848828619647681,0.5,0.30549130099487315,0.07402536602276891,0.2802101348146414,0.5,-0.08460857526302923,-1.0153029031563507,0.13833248063546288,0.2808598423118462,0.378,3949.996539904,Financial Services,43.0,43
ITC.NS,398.29998779296875,-18043.419822837033,Very Low Probability,0.2648373986642543,0.5,-116333.55137957963,0.5536550938827264,34820.107969767654,-0.5,0.014418584912150053,0.5,0.1144439698050514,0.0463263731879187,0.1899098164598095,0.5,-0.040363619818111096,-0.48436343781733315,0.2327451598177076,-1.324070739873755,0.057,4989.38413056,Consumer Defensive,44.0,44
HINDALCO.NS,704.2000122070312,-21443.7401544924,Very Low Probability,0.12964652455635803,0.5,-116164.10605072927,0.533808968785116,11925.623817846665,0.5,0.0316618724893655,0.5,0.251308321948496,0.08069156173504569,0.35347751087611684,0.5,0.022226966473299248,0.266723597679591,0.2622939887533088,0.08983253267416555,1.018,1563.845197824,Basic Materials,45.0,45
POWERGRID.NS,283.3500061035156,-30265.27532313838,Very Low Probability,0.2392592615344854,0.5,-142909.93734340332,0.6349720020124047,-11223.786100489326,-1.0,0.017057834907068622,1.0,0.13539236720790046,0.040172840258935555,0.20111759167730964,0.5,-0.04952203279255162,-0.5942643935106194,0.2955904525229667,-0.658710695970977,0.266,2635.324981248,Utilities,46.0,46
ONGC.NS,236.2899932861328,-40775.140151035,Very Low Probability,0.21065558065337112,0.5,-195298.75095597818,0.6592348215021778,-11437.776726385016,0.0,0.015294949140586744,0.0,0.12139989522412084,0.04601652274776979,0.2090508278343906,0.5,-0.03784693164152664,-0.45416317969831965,0.30547076065508927,-1.092279066648753,0.383,2972.717154304,Energy,47.0,47
ICICIBANK.NS,1436.4000244140625,-73210.6135494185,Very Low Probability,0.20067679332969746,0.5,-357461.10019367293,0.7341800924994829,-11457.858712640742,-0.25,0.010703882595808515,0.25,0.0849594342340255,0.0535876942316497,0.18477818399676313,0.5,-0.02771630864230956,-0.33259570370771474,0.11139583370458211,0.9001791275075618,0.495,10255.695085568,Financial Services,48.0,48
BEL.NS,374.8500061035156,-103757.40703542557,Very Low Probability,0.22263810398830008,0.5,-512442.60355551075,0.5500697590151926,-8460.996628755003,-0.5,0.02506973959054861,0.5,0.19898488916922558,0.06012379277765398,0.31529119212767814,0.5,-0.06154458668076457,-0.7385350401691748,0.22643894554674934,0.6918621172179031,0.384,2740.071170048,Industrials,49.0,49
BHARTIARTL.NS,1933.300048828125,-159087.80413614106,Very Low Probability,0.270045265286801,0.5,-803398.9853942089,0.6612904995948024,10611.341585396429,0.25,0.025410202393479575,0.25,0.20168722889089555,0.06173128556878165,0.26563150686012665,0.5,-0.0038597975428186215,-0.04631757051382346,0.13886847916164563,1.133947216257959,0.155,11593.110781952,Communication Services,50.0,50
