Symbol,Current_Price,Expected_Return,Composite_Score,Value_Score,Quality_Score,Momentum_Score,Size_Score,LowVol_Score,Volatility,Sharpe_Ratio,Max_Drawdown,Market_Cap_B,Sector,Factor_Rank,Expected_Return_Rank,Rank
BHARTIARTL.NS,1930.699951171875,0.06157776450605492,0.4288121991686655,0.3698065111869986,0.6454422854876632,0.5,0.0,0.5,0.22003445959554854,-0.015553179716647965,0.0826646825922773,11577.519505408,Communication Services,38.0,35.0,38
NESTLEIND.NS,1153.0,0.06010493642139842,0.42106368362563257,0.1682230807720928,0.8160316537304376,0.5,0.0,0.5,0.2152169924327356,-0.022744782014047966,0.11882230737862319,2223.341568,Consumer Defensive,39.0,44.0,39
JSWSTEEL.NS,1057.800048828125,0.06139174960237842,0.4210599985768933,0.42562993755296313,0.5586100567546102,0.5,0.0,0.5,0.2721414846143313,-0.01325872974763498,0.12499995682878283,2580.630208512,Basic Materials,40.0,37.0,40
ADANIENT.NS,2302.89990234375,0.060932950826754546,0.42046890308042245,0.3409633283858395,0.6409122839358504,0.5,0.0,0.5,0.3114616327427495,-0.013057945973732882,0.1769262527048704,2657.960853504,Energy,41.0,38.0,41
M&M.NS,3398.89990234375,0.06092600342197766,0.41292897920399046,0.43005293394764604,0.5216629828683159,0.5,0.0,0.5,0.2551549073746834,-0.015966757684342175,0.11910831362178934,4136.495218688,Consumer Cyclical,42.0,39.0,42
LT.NS,3603.10009765625,0.0602551774770245,0.4041277750554778,0.4015021947391662,0.515008905482745,0.5,0.0,0.5,0.23436628927946695,-0.02024532853066423,0.12778448626452282,4955.55969024,Industrials,43.0,43.0,43
BRITANNIA.NS,5550.5,0.059188445258511524,0.40317558152947175,0.19958207334864256,0.7131202527692445,0.5,0.0,0.5,0.21100138292811585,-0.027542732947245015,0.08701739359184024,1336.965595136,Consumer Defensive,44.0,45.0,44
HDFCBANK.NS,1964.0999755859375,0.06049550269959185,0.4003120129115647,0.4953563849795922,0.4058916666666667,0.5,0.0,0.5,0.17414951373456944,-0.025865689796146646,0.038562547186216545,15078.434799616,Financial Services,45.0,42.0,45
TRENT.NS,5423.0,0.05744836331715594,0.38053422758703304,0.12326193238679144,0.6988749779613408,0.5,0.0,0.5,0.41772489803343343,-0.018078014306534464,0.19742868621936555,1927.806058496,Consumer Cyclical,46.0,46.0,46
APOLLOHOSP.NS,7851.0,0.05667227361217688,0.3593839491200378,0.221847332994922,0.5156884634852292,0.5,0.0,0.5,0.2249856872700473,-0.0370144718487246,0.06978732129260463,1128.856027136,Healthcare,47.0,47.0,47
SBILIFE.NS,1846.800048828125,0.05515697783380233,0.3344196716204458,0.21835950731511639,0.41931917916666667,0.5,0.0,0.5,0.22158104098374953,-0.04442177057431348,0.06943559473155161,1851.380072448,Financial Services,48.0,48.0,48
HDFCLIFE.NS,787.0,0.05495146235808249,0.3340504554239569,0.18168700652901257,0.4545148151668152,0.5,0.0,0.5,0.20896107235184544,-0.04808808420066845,0.09308607261362294,1696.339197952,Financial Services,49.0,49.0,49
TITAN.NS,3651.39990234375,0.05263403533650932,0.2969719066920272,0.16314418699753763,0.3247434397705712,0.5,0.0,0.5,0.22241044169072668,-0.055599748687546774,0.10302602685691033,3238.956105728,Consumer Cyclical,50.0,50.0,50
