Symbol,Current_Price,Reliability_Score,Reliability_Rating,OCF_Conversion,Cash_Flow_Stability,Working_Capital_Efficiency,Accruals_Quality,FCF_Generation,Operating_CF_M,Free_CF_M,Net_Income_M,OCF_NI_Ratio,FCF_Yield,FCF_Conversion,Total_Cash_M,Volatility,Max_Drawdown,Market_Cap_B,Sector,Reliability_Rank,Rank
KOTAKBANK.NS,1986.5999755859375,0.5833363268553257,Fair,0.49132235545680814,0.5908003492758016,0.5,0.504526676461977,0.8333333333333333,,,191500.091392,,,,477116.727296,0.21472497409103847,0.23152698879135183,3949.996539904,Financial Services,33.0,33
INDUSINDBK.NS,760.0999755859375,0.5679467005309161,Fair,0.7630620406942112,0.36149140670666213,0.5,0.4769971712179835,0.6666666666666666,,,10088.200192,,,,593754.914816,0.3360885685009488,0.6186029724730097,592.175628288,Financial Services,34.0,34
BHARTIARTL.NS,1933.300048828125,0.5550332675843563,Fair,0.25038696337149735,0.586634559724947,0.775,0.5141076258460326,0.714967354597938,1072185.99936,252356.493312,353440.989184,3.0335643917118627,0.02176779796712244,0.2353663389212641,212641.005568,0.20572997689606795,0.13886847916164607,11593.110781952,Communication Services,35.0,35
BPCL.NS,316.45001220703125,0.5516769718973445,Fair,0.2944892475989255,0.6790323889542806,0.5172028791733684,0.5617015599586023,0.7727618618914648,,,173340.196864,,,,102431.203328,0.2874785238148898,0.34588780429408006,1373.136617472,Energy,36.0,36
TATAMOTORS.NS,680.2999877929688,0.5059605032198724,Fair,0.0,0.6556458040584845,0.6802535295554845,0.5355906715917622,0.7922101787915711,,,212399.996928,,,,674279.981056,0.2810570436327772,0.5010113132289321,2504.667430912,Consumer Cyclical,37.0,37
HDFCLIFE.NS,788.75,0.5027863667892359,Fair,0.5,0.45880468305396266,0.6116349383612685,0.4246562833745983,0.5,,,18796.300288,,,,30487.699456,0.24270442576029866,0.24564706993991853,1700.11131904,Financial Services,38.0,38
JSWSTEEL.NS,1054.5999755859375,0.501201932837699,Fair,0.0,0.7769852477343911,0.6139241714124423,0.37568921561110385,0.8333333333333333,,,48429.99808,,,,184820.006912,0.24612186315375695,0.1515542080420315,2572.823298048,Basic Materials,39.0,39
BEL.NS,374.8500061035156,0.500346672713419,Fair,0.6031400673784666,0.6061698257479411,0.41046710523618507,0.3971173533687366,0.43333333333333335,,,55003.500544,,,,95450.996736,0.3272804282727835,0.26896410665597764,2740.071170048,Industrials,40.0,40
BAJAJ-AUTO.NS,8679.5,0.48356916917614595,Weak,0.479589488440897,0.5454465394123982,0.5219364953114002,0.42352348969663556,0.43333333333333335,,,75933.802496,,,,92011.798528,0.24730618507733307,0.42313525480802106,2423.194648576,Consumer Cyclical,41.0,41
SBILIFE.NS,1859.0,0.44865704911301985,Weak,0.5,0.400265595351506,0.4024876543790429,0.42070932777940034,0.5,,,24881.50016,,,,24400.300032,0.22341656105215818,0.28084413906425787,1863.610269696,Financial Services,42.0,42
BAJAJFINSV.NS,1965.9000244140625,0.44257980374828093,Weak,0.0,0.54691559131898,1.0,0.6012524440159888,0.21504409441043287,,,95236.603904,,,,147385.401344,0.23923996931624603,0.32248587956321895,3138.067890176,Financial Services,43.0,43
M&M.NS,3403.0,0.4180669442658832,Weak,0.22144076899988735,0.48260372023185016,0.37905082890979774,0.602505614583879,0.5,,,137297.903616,,,,410692.48512,0.2731419529872296,0.22417558953632172,4141.485129728,Consumer Cyclical,44.0,44
SBIN.NS,816.25,0.4044278643292484,Weak,0.2661586843404107,0.4783131469559431,0.5,0.3703926479086024,0.43333333333333335,,,794378.502144,,,,3901819.191296,0.24096800289049206,0.23944130419643375,7534.49304064,Financial Services,45.0,45
TITAN.NS,3621.0,0.389833124899751,Poor,0.27154621665938034,0.39267782739964163,0.34325726295560804,0.587285906647929,0.43333333333333335,,,37129.998336,,,,23470.000128,0.21329248748874818,0.2249819379254267,3211.989876736,Consumer Cyclical,46.0,46
ADANIENT.NS,2324.89990234375,0.3820049693450426,Poor,0.0,0.6078121106657624,0.6862447314676836,0.46573511723346667,0.26666666666666666,,,62314.500096,,,,66033.401856,0.546772049102608,0.7134659630044369,2683.352907776,Energy,47.0,47
GRASIM.NS,2813.800048828125,0.3487884563145982,Poor,0.0,0.47940617107250527,0.6892874282353025,0.3696642467343844,0.2980004972143948,,,40493.30176,,,,238748.696576,0.21394535986729407,0.19228382632065907,1909.312585728,Basic Materials,48.0,48
BAJFINANCE.NS,894.5,0.3109715830933686,Poor,0.0,0.45222417613389215,0.5,0.4091873129578166,0.2957432546145881,,,174254.505984,,,,106489.004032,0.25343669333159136,0.28306055279683895,5557.913124864,Financial Services,49.0,49
SHRIRAMFIN.NS,615.8499755859375,0.2823421868076809,Poor,0.0,0.5875789423825788,0.5,0.2988426555411008,0.1,,,95986.499584,,,,109314.899968,0.3368640901557545,0.2900455860223038,1158.36452864,Financial Services,50.0,50
